Squad,Comp,Season,MP,W,D,L,GF,GA,GD,Pts,Poss,Sh,SoT,Sh/90,SoT/90,G/Sh,G/SoT,SoT%,xG,xGA,xGD,xGD/90,Cmp%,TotDist,PrgDist,PrgP,KP,1/3,PPA,CrsPA,SCA,GCA,SCA90,GCA90,Tkl,Int,Blocks,Clr,Tkl+Int,CrdY,CrdR
Leverkusen,Premier League,2023-2024,34,28,6,0,89,24,65,90,61.8,611,232,17.97,6.82,0.13,0.34,38.0,73.6,29.9,43.7,1.29,35.1,322890,106373,1997,490,1716,457,72,1117,159,32.85,4.68,458,224,330,460,682,59,0
Stuttgart,Premier League,2023-2024,34,23,4,7,78,39,39,73,59.9,529,206,15.56,6.06,0.14,0.35,38.9,70.9,38.1,32.7,0.96,42.0,312129,108823,1618,413,1338,356,80,960,138,28.24,4.06,537,269,378,619,806,56,1
Bayern Munich,Premier League,2023-2024,34,23,3,8,94,45,49,72,61.3,633,229,18.62,6.74,0.14,0.38,36.2,85.2,32.1,53.0,1.56,40.9,340799,109694,1941,506,1563,458,86,1156,166,34.0,4.88,520,288,378,473,808,47,2
RB Leipzig,Premier League,2023-2024,34,19,8,7,77,39,38,65,55.3,528,214,15.53,6.29,0.13,0.33,40.5,65.6,40.1,25.5,0.75,33.8,282017,96743,1541,404,1185,334,75,934,126,27.47,3.71,538,240,444,630,778,61,1
Dortmund,Premier League,2023-2024,34,18,9,7,68,43,25,63,57.8,506,184,14.88,5.41,0.12,0.34,36.4,63.5,52.0,11.5,0.34,38.1,300426,100507,1452,389,1144,301,46,909,121,26.74,3.56,548,251,431,628,799,59,4
Eint Frankfurt,Premier League,2023-2024,34,11,14,9,51,50,1,47,52.1,402,139,11.82,4.09,0.11,0.33,34.6,46.2,52.1,-5.9,-0.17,27.2,260025,91225,1305,292,1007,276,60,688,81,20.24,2.38,602,302,424,704,904,70,5
Hoffenheim,Premier League,2023-2024,34,13,7,14,66,66,0,46,49.5,457,160,13.44,4.71,0.13,0.37,35.0,53.6,60.8,-7.2,-0.21,39.3,240505,94518,1359,346,1069,292,76,813,110,23.91,3.24,517,357,413,790,874,86,5
Heidenheim,Premier League,2023-2024,34,10,12,12,50,55,-5,42,42.5,392,114,11.53,3.35,0.11,0.39,29.1,39.4,61.8,-22.5,-0.66,41.8,206040,85936,983,279,730,201,73,666,81,19.59,2.38,601,302,463,783,903,54,1
Werder Bremen,Premier League,2023-2024,34,11,9,14,48,54,-6,42,46.8,407,125,11.97,3.68,0.1,0.32,30.7,46.9,56.5,-9.6,-0.28,42.4,237961,91530,1172,321,882,276,83,721,82,21.21,2.41,604,284,434,785,888,73,2
Freiburg,Premier League,2023-2024,34,11,9,14,45,58,-13,42,46.6,392,131,11.53,3.85,0.09,0.27,33.4,49.4,50.5,-1.1,-0.03,34.0,223388,83596,1208,296,936,246,81,714,77,21.0,2.26,546,272,436,725,818,64,4
Augsburg,Premier League,2023-2024,34,10,9,15,50,60,-10,39,43.9,429,123,12.62,3.62,0.1,0.36,28.7,46.1,57.4,-11.3,-0.33,37.8,199672,80511,1137,299,919,284,89,726,78,21.35,2.29,528,295,439,727,823,71,3
Wolfsburg,Premier League,2023-2024,34,10,7,17,41,56,-15,37,48.0,411,147,12.09,4.32,0.09,0.27,35.8,39.2,44.7,-5.5,-0.16,40.7,232194,87396,1235,310,954,263,67,724,73,21.29,2.15,550,268,414,801,818,86,5
Mainz 05,Premier League,2023-2024,34,7,14,13,39,51,-12,35,46.1,476,134,14.0,3.94,0.08,0.28,28.2,44.6,44.5,0.2,0.01,34.7,201446,81453,1169,346,939,248,78,816,65,24.0,1.91,572,346,442,704,918,99,3
Gladbach,Premier League,2023-2024,34,7,13,14,56,67,-11,34,46.8,451,144,13.26,4.24,0.11,0.35,31.9,46.5,54.2,-7.8,-0.23,35.6,232267,84618,1227,374,801,261,83,806,98,23.71,2.88,582,333,465,860,915,66,2
Union Berlin,Premier League,2023-2024,34,9,6,19,33,58,-25,33,42.9,403,127,11.85,3.74,0.07,0.24,31.5,40.1,50.5,-10.4,-0.31,37.8,204399,86273,1146,300,859,233,80,702,60,20.65,1.76,549,305,480,861,854,67,7
Bochum,Premier League,2023-2024,34,7,12,15,42,74,-32,33,46.6,524,145,15.41,4.26,0.07,0.26,27.7,44.5,63.9,-19.3,-0.57,41.5,185281,85808,1151,371,902,265,85,884,72,26.0,2.12,603,308,460,768,911,97,2
Köln,Premier League,2023-2024,34,5,12,17,28,60,-32,27,46.5,441,142,12.97,4.18,0.05,0.16,32.2,39.3,64.6,-25.3,-0.74,36.3,209861,79468,1086,319,821,217,85,780,45,22.94,1.32,617,305,506,766,922,71,4
Darmstadt 98,Premier League,2023-2024,34,3,8,23,30,86,-56,17,45.7,404,110,11.88,3.24,0.06,0.23,27.2,32.3,73.1,-40.8,-1.2,40.3,223927,86971,1083,302,873,226,65,723,50,21.26,1.47,560,317,400,707,877,83,4
