Squad,Comp,Season,MP,W,D,L,GF,GA,GD,Pts,Poss,Sh,SoT,Sh/90,SoT/90,G/Sh,G/SoT,SoT%,xG,xGA,xGD,xGD/90,Cmp%,TotDist,PrgDist,PrgP,KP,1/3,PPA,CrsPA,SCA,GCA,SCA90,GCA90,Tkl,Int,Blocks,Clr,Tkl+Int,CrdY,CrdR
Barcelona,Premier League,2022-2023,38,28,4,6,70,20,50,88,64.3,570,187,15.0,4.92,0.12,0.37,32.8,75.5,33.2,42.3,1.11,50.0,364375,115139,2182,449,1859,482,104,1050,125,27.63,3.29,522,253,353,439,775,84,6
Real Madrid,Premier League,2022-2023,38,24,6,8,75,36,39,78,60.9,634,206,16.68,5.42,0.1,0.31,32.5,75.5,38.9,36.6,0.96,40.2,357586,113878,2017,522,1880,384,50,1194,134,31.42,3.53,542,296,365,469,838,72,3
Atlético Madrid,Premier League,2022-2023,38,23,8,7,70,33,37,77,50.6,538,195,14.16,5.13,0.12,0.34,36.2,61.9,41.1,20.8,0.55,31.6,277627,101839,1571,418,1200,335,68,958,116,25.21,3.05,667,304,396,704,971,92,8
Real Sociedad,Premier League,2022-2023,38,21,8,9,51,35,16,71,54.6,465,173,12.24,4.55,0.1,0.26,37.2,52.9,33.0,19.8,0.52,42.7,269422,96159,1483,346,1145,290,65,800,82,21.05,2.16,660,271,399,624,931,90,2
Villarreal,Premier League,2022-2023,38,19,7,12,59,40,19,64,56.9,499,188,13.13,4.95,0.11,0.28,37.7,61.6,49.9,11.8,0.31,34.5,295552,101196,1622,374,1304,349,52,884,89,23.26,2.34,578,262,372,691,840,91,4
Betis,Premier League,2022-2023,38,17,9,12,46,41,5,60,50.6,411,138,10.82,3.63,0.09,0.25,33.6,51.3,50.0,1.3,0.03,36.1,245275,92460,1272,310,988,270,54,741,69,19.5,1.82,665,364,411,857,1029,83,15
Osasuna,Premier League,2022-2023,38,15,8,15,37,42,-5,53,48.0,441,133,11.61,3.5,0.07,0.24,30.2,39.8,45.7,-5.9,-0.15,43.3,242236,95597,1356,322,1140,271,114,779,69,20.5,1.82,534,315,392,749,849,93,7
Athletic Club,Premier League,2022-2023,38,14,9,15,47,43,4,51,51.6,541,157,14.24,4.13,0.08,0.26,29.0,54.2,36.9,17.3,0.46,37.8,261620,96037,1816,413,1385,341,107,945,78,24.87,2.05,608,310,415,598,918,81,5
Mallorca,Premier League,2022-2023,38,14,8,16,37,43,-6,50,41.1,324,107,8.53,2.82,0.1,0.3,33.0,35.2,46.4,-11.2,-0.3,41.7,199896,84037,948,252,815,182,69,563,63,14.82,1.66,583,318,402,859,901,120,5
Girona,Premier League,2022-2023,38,13,10,15,58,55,3,49,51.3,446,160,11.74,4.21,0.11,0.29,35.9,50.6,54.9,-4.3,-0.11,36.4,264810,95707,1378,366,1086,265,91,821,102,21.61,2.68,551,266,379,662,817,92,3
Rayo Vallecano,Premier League,2022-2023,38,13,10,15,45,53,-8,49,51.2,510,146,13.42,3.84,0.07,0.25,28.6,43.9,50.3,-6.4,-0.17,28.3,251321,91899,1390,386,1247,269,102,881,69,23.18,1.82,636,309,428,680,945,90,6
Sevilla,Premier League,2022-2023,38,13,10,15,47,54,-7,49,52.6,463,141,12.18,3.71,0.09,0.3,30.5,46.3,54.2,-7.9,-0.21,34.7,273953,95369,1513,341,1230,302,95,837,82,22.03,2.16,587,339,361,633,926,121,13
Celta Vigo,Premier League,2022-2023,38,11,10,17,43,53,-10,43,50.2,470,160,12.37,4.21,0.08,0.24,34.0,42.6,45.4,-2.8,-0.07,36.4,267004,91075,1403,353,1143,274,77,819,70,21.55,1.84,664,368,393,666,1032,85,6
Cádiz,Premier League,2022-2023,38,10,12,16,30,53,-23,42,41.9,390,108,10.26,2.84,0.06,0.23,27.7,41.5,61.6,-20.1,-0.53,32.6,190101,78677,969,269,830,192,93,663,49,17.45,1.29,623,270,425,853,893,116,7
Getafe,Premier League,2022-2023,38,10,12,16,34,45,-11,42,39.9,365,116,9.61,3.05,0.08,0.25,31.8,36.7,46.0,-9.4,-0.25,45.2,189556,83925,1003,248,844,214,94,619,51,16.29,1.34,541,320,404,794,861,126,9
Valencia,Premier League,2022-2023,38,11,9,18,42,45,-3,42,52.0,480,140,12.63,3.68,0.07,0.25,29.2,49.3,43.5,5.8,0.15,33.9,240816,86465,1472,355,1155,302,111,859,62,22.61,1.63,678,288,370,643,966,93,8
Almería,Premier League,2022-2023,38,11,8,19,49,65,-16,41,45.1,439,155,11.55,4.08,0.11,0.3,35.3,45.5,62.5,-17.0,-0.45,35.7,225475,89276,1090,316,846,218,81,758,76,19.95,2.0,557,322,435,855,879,98,4
Valladolid,Premier League,2022-2023,38,11,7,20,33,63,-30,40,48.7,443,137,11.66,3.61,0.07,0.21,30.9,38.5,65.2,-26.6,-0.7,34.7,238766,87767,1244,324,969,223,92,792,59,20.84,1.55,671,345,432,767,1016,94,6
Espanyol,Premier League,2022-2023,38,8,13,17,52,69,-17,37,43.1,417,151,10.97,3.97,0.11,0.3,36.2,48.3,59.8,-11.5,-0.3,46.3,208293,86401,1146,319,906,233,83,735,84,19.34,2.21,652,338,416,788,990,99,10
Elche,Premier League,2022-2023,38,5,10,23,30,67,-37,25,45.5,400,124,10.53,3.26,0.07,0.21,31.0,37.5,70.0,-32.6,-0.86,44.1,218542,87460,1197,313,941,211,82,726,54,19.11,1.42,633,323,413,766,956,99,12
