Squad,Comp,Season,MP,W,D,L,GF,GA,GD,Pts,Poss,Sh,SoT,Sh/90,SoT/90,G/Sh,G/SoT,SoT%,xG,xGA,xGD,xGD/90,Cmp%,TotDist,PrgDist,PrgP,KP,1/3,PPA,CrsPA,SCA,GCA,SCA90,GCA90,Tkl,Int,Blocks,Clr,Tkl+Int,CrdY,CrdR
Paris S-G,Premier League,2021-2022,38,26,8,4,90,36,54,86,63.0,555,202,14.61,5.32,0.15,0.4,36.4,76.7,39.8,36.9,0.97,40.6,379833,120661,2055,433,1844,403,51,1018,159,26.79,4.18,607,303,330,437,910,79,4
Marseille,Premier League,2021-2022,38,21,8,9,63,38,25,71,61.7,489,157,12.87,4.13,0.1,0.32,32.1,58.2,39.0,19.2,0.51,33.8,361998,109449,1866,384,1547,336,59,904,110,23.79,2.89,556,327,263,437,883,61,3
Monaco,Premier League,2021-2022,38,20,9,9,65,40,25,69,54.1,445,153,11.71,4.03,0.12,0.35,34.4,59.3,40.3,19.0,0.5,38.6,293016,105290,1871,348,1387,393,82,779,107,20.5,2.82,745,424,378,487,1169,85,4
Rennes,Premier League,2021-2022,38,20,6,12,82,40,42,66,55.9,548,194,14.42,5.11,0.14,0.4,35.4,62.8,42.9,19.8,0.52,41.0,330949,109096,1737,426,1287,367,89,971,151,25.55,3.97,546,315,347,646,861,56,2
Nice,Premier League,2021-2022,38,20,7,11,52,36,16,66,51.5,442,144,11.63,3.79,0.1,0.31,32.6,55.6,42.5,13.1,0.35,38.3,281750,98166,1474,334,1151,261,102,789,94,20.76,2.47,610,441,392,595,1051,77,6
Strasbourg,Premier League,2021-2022,38,17,12,9,60,43,17,63,49.5,470,150,12.37,3.95,0.11,0.33,31.9,55.6,43.5,12.1,0.32,41.0,269517,97463,1589,348,1184,334,108,810,98,21.32,2.58,660,433,380,563,1093,72,3
Lens,Premier League,2021-2022,38,17,11,10,62,48,14,62,50.7,511,183,13.45,4.82,0.11,0.3,35.8,50.2,42.7,7.5,0.2,39.0,283832,99071,1692,383,1263,281,70,900,106,23.68,2.79,591,455,360,616,1046,73,7
Lyon,Premier League,2021-2022,38,17,11,10,66,51,15,61,58.4,546,192,14.37,5.05,0.1,0.29,35.2,66.9,54.6,12.4,0.33,42.3,340268,116719,1756,422,1486,346,66,986,111,25.95,2.92,632,396,385,621,1028,65,6
Nantes,Premier League,2021-2022,38,15,10,13,55,48,7,55,43.9,420,145,11.05,3.82,0.11,0.33,34.5,45.5,52.7,-7.2,-0.19,33.9,232016,88021,1330,327,1086,204,76,723,89,19.03,2.34,685,415,419,680,1100,80,4
Lille,Premier League,2021-2022,38,14,13,11,48,48,0,55,50.8,461,150,12.13,3.95,0.09,0.27,32.5,50.5,39.9,10.6,0.28,33.7,265491,93760,1487,344,1124,266,61,811,81,21.34,2.13,653,377,351,672,1030,98,6
Brest,Premier League,2021-2022,38,13,9,16,49,57,-8,48,43.9,394,138,10.37,3.63,0.1,0.3,35.0,43.4,56.3,-12.8,-0.34,46.5,242103,96714,1349,305,1087,252,88,698,78,18.37,2.05,682,469,369,707,1151,59,2
Reims,Premier League,2021-2022,38,11,13,14,43,44,-1,46,42.2,389,137,10.24,3.61,0.1,0.28,35.2,37.7,46.4,-8.7,-0.23,31.5,222517,84221,1185,307,878,233,76,692,71,18.21,1.87,615,493,460,753,1108,68,7
Montpellier,Premier League,2021-2022,38,12,7,19,49,61,-12,43,48.2,433,151,11.39,3.97,0.1,0.3,34.9,42.7,57.1,-14.4,-0.38,39.0,246694,95721,1282,290,957,239,70,736,85,19.37,2.24,625,356,363,675,981,77,8
Angers,Premier League,2021-2022,38,10,11,17,44,55,-11,41,48.4,384,123,10.11,3.24,0.08,0.26,32.0,46.5,50.0,-3.6,-0.09,32.4,281097,99557,1349,277,1029,186,56,671,71,17.66,1.87,619,423,384,631,1042,70,4
Troyes,Premier League,2021-2022,38,9,11,18,37,53,-16,38,44.4,379,120,9.97,3.16,0.08,0.24,31.7,39.2,50.8,-11.5,-0.3,39.2,232760,90537,1216,285,937,216,85,668,54,17.58,1.42,636,430,375,656,1066,75,6
Lorient,Premier League,2021-2022,38,8,12,18,35,63,-28,36,44.4,442,146,11.63,3.84,0.07,0.22,33.0,41.3,50.5,-9.2,-0.24,27.7,241458,86977,1258,321,998,218,76,758,60,19.95,1.58,696,412,405,776,1108,69,4
Clermont Foot,Premier League,2021-2022,38,9,9,20,38,69,-31,36,50.0,436,134,11.47,3.53,0.08,0.25,30.7,44.4,52.4,-8.0,-0.21,28.5,268742,97045,1370,326,1066,263,102,771,64,20.29,1.68,622,386,372,527,1008,65,8
Saint-Étienne,Premier League,2021-2022,38,7,11,20,42,77,-35,32,48.5,434,141,11.42,3.71,0.08,0.26,32.5,38.3,58.2,-19.9,-0.52,32.8,248220,88275,1400,312,1058,200,62,749,65,19.71,1.71,695,452,398,563,1147,81,5
Metz,Premier League,2021-2022,38,6,13,19,35,69,-34,31,42.9,370,112,9.74,2.95,0.09,0.29,30.3,29.2,62.5,-33.4,-0.88,38.3,222449,84751,1015,275,818,126,49,634,55,16.68,1.45,711,507,452,782,1218,94,9
Bordeaux,Premier League,2021-2022,38,6,13,19,52,91,-39,31,47.4,446,145,11.74,3.82,0.11,0.33,32.5,44.9,66.8,-21.9,-0.58,41.2,253745,96071,1271,326,952,221,59,768,91,20.21,2.39,642,454,357,688,1096,91,5
