Squad,Comp,Season,MP,W,D,L,GF,GA,GD,Pts,Poss,Sh,SoT,Sh/90,SoT/90,G/Sh,G/SoT,SoT%,xG,xGA,xGD,xGD/90,Cmp%,TotDist,PrgDist,PrgP,KP,1/3,PPA,CrsPA,SCA,GCA,SCA90,GCA90,Tkl,Int,Blocks,Clr,Tkl+Int,CrdY,CrdR
Liverpool,Premier League,2024-2025,38,25,9,4,86,41,45,84,57.7,639,215,16.82,5.66,0.12,0.35,33.6,82.2,38.6,43.6,1.15,31.4,312343,104887,1924,509,1583,430,83,1151,147,30.29,3.87,642,299,367,724,941,67,3
Arsenal,Premier League,2024-2025,38,20,14,4,69,34,35,74,56.9,544,178,14.32,4.68,0.12,0.37,32.7,59.9,34.4,25.5,0.67,31.2,278808,87055,1826,428,1397,437,75,969,119,25.5,3.13,598,225,328,680,823,70,6
Manchester City,Premier League,2024-2025,38,21,8,9,72,44,28,71,61.3,603,208,15.87,5.47,0.11,0.33,34.5,68.1,47.7,20.4,0.54,41.6,349984,98901,1944,472,1685,440,62,1096,125,28.84,3.29,497,229,331,619,726,59,2
Chelsea,Premier League,2024-2025,38,20,9,9,64,43,21,69,57.1,590,203,15.53,5.34,0.1,0.28,34.4,67.8,47.3,20.5,0.54,23.0,311166,98339,1595,457,1488,346,73,1061,109,27.92,2.87,588,272,356,695,860,101,2
Newcastle Utd,Premier League,2024-2025,38,20,6,12,68,47,21,66,51.3,519,163,13.66,4.29,0.12,0.37,31.4,63.8,45.5,18.3,0.48,26.7,260464,91034,1595,399,1149,399,70,938,115,24.68,3.03,603,270,411,884,873,68,1
Aston Villa,Premier League,2024-2025,38,19,9,10,58,51,7,66,50.5,478,159,12.58,4.18,0.11,0.33,33.3,56.1,50.1,5.9,0.16,38.2,252637,88182,1344,358,1137,319,56,849,102,22.34,2.68,637,240,329,788,877,76,4
Nott'ham Forest,Premier League,2024-2025,38,19,8,11,58,46,12,65,41.2,460,162,12.11,4.26,0.12,0.33,35.2,45.5,48.9,-3.4,-0.09,35.0,185832,74897,1125,333,974,241,64,798,91,21.0,2.39,698,322,427,1220,1020,90,2
Brighton,Premier League,2024-2025,38,16,13,9,66,59,7,61,52.3,526,183,13.84,4.82,0.11,0.31,34.8,58.7,54.6,4.1,0.11,32.1,268916,90984,1539,377,1189,339,87,933,113,24.55,2.97,705,315,439,762,1020,78,3
Bournemouth,Premier League,2024-2025,38,15,11,12,58,46,12,56,48.5,574,192,15.11,5.05,0.09,0.27,33.4,64.0,48.5,15.5,0.41,37.4,233955,86767,1489,437,1242,339,106,1012,93,26.63,2.45,691,351,459,1013,1042,97,3
Brentford,Premier League,2024-2025,38,16,8,14,66,57,9,56,47.9,434,173,11.42,4.55,0.14,0.35,39.9,59.0,55.4,3.6,0.09,37.9,245539,93263,1356,330,1104,325,91,780,113,20.53,2.97,633,285,480,1040,918,62,1
Fulham,Premier League,2024-2025,38,15,9,14,54,54,0,54,52.3,516,167,13.58,4.39,0.1,0.3,32.4,49.0,47.2,1.8,0.05,38.4,289508,97635,1558,398,1346,343,108,940,99,24.74,2.61,679,302,382,914,981,80,2
Crystal Palace,Premier League,2024-2025,38,13,14,11,51,51,0,53,42.8,512,175,13.47,4.61,0.09,0.26,34.2,60.4,49.1,11.3,0.3,26.2,213257,80237,1158,379,886,272,69,877,89,23.08,2.34,767,334,485,1088,1101,80,4
Everton,Premier League,2024-2025,38,11,15,12,42,44,-2,48,40.9,404,139,10.63,3.66,0.09,0.27,34.4,41.8,46.2,-4.5,-0.12,37.7,215027,85013,1041,298,1003,261,92,713,68,18.76,1.79,732,345,392,1088,1077,82,2
West Ham,Premier League,2024-2025,38,11,10,17,46,62,-16,43,48.4,473,137,12.45,3.61,0.08,0.29,29.0,47.0,59.7,-12.7,-0.33,34.8,258653,90743,1222,331,1075,267,72,815,67,21.45,1.76,654,331,440,1037,985,82,3
Manchester Utd,Premier League,2024-2025,38,11,9,18,44,54,-10,42,53.5,524,168,13.79,4.42,0.07,0.23,32.1,52.6,53.8,-1.3,-0.03,26.1,278154,89708,1448,406,1141,335,73,939,70,24.71,1.84,817,358,386,759,1175,86,3
Wolves,Premier League,2024-2025,38,12,6,20,54,69,-15,42,48.1,431,155,11.34,4.08,0.12,0.34,36.0,43.7,58.1,-14.5,-0.38,28.8,246100,83847,1185,323,1011,276,72,756,96,19.89,2.53,801,298,437,947,1099,79,2
Tottenham,Premier League,2024-2025,38,11,5,22,64,65,-1,38,54.7,493,177,12.97,4.66,0.12,0.33,35.9,58.8,63.3,-4.5,-0.12,30.3,275248,93006,1593,375,1254,369,83,875,106,23.03,2.79,661,322,448,821,983,72,1
Leicester City,Premier League,2024-2025,38,6,7,25,33,80,-47,25,45.4,332,105,8.74,2.76,0.09,0.3,31.6,32.6,71.9,-39.3,-1.03,26.3,234016,83996,1082,252,953,216,67,585,56,15.39,1.47,728,327,505,987,1055,87,0
Ipswich Town,Premier League,2024-2025,38,4,10,24,36,82,-46,22,40.6,374,120,9.84,3.16,0.09,0.28,32.1,34.4,72.7,-38.3,-1.01,35.6,204832,77912,935,283,865,173,54,658,58,17.32,1.53,589,303,436,1102,892,93,5
Southampton,Premier League,2024-2025,38,2,6,30,26,86,-60,12,48.5,341,106,8.97,2.79,0.07,0.24,31.1,32.7,84.8,-52.1,-1.37,33.2,263566,84964,1127,269,989,218,60,616,42,16.21,1.11,652,305,433,988,957,89,3
