Squad,Comp,Season,MP,W,D,L,GF,GA,GD,Pts,Poss,Sh,SoT,Sh/90,SoT/90,G/Sh,G/SoT,SoT%,xG,xGA,xGD,xGD/90,Cmp%,TotDist,PrgDist,PrgP,KP,1/3,PPA,CrsPA,SCA,GCA,SCA90,GCA90,Tkl,Int,Blocks,Clr,Tkl+Int,CrdY,CrdR
Napoli,Premier League,2024-2025,38,24,10,4,59,27,32,82,54.6,499,150,13.13,3.95,0.1,0.35,30.1,52.9,29.6,23.3,0.61,40.6,299923,98597,1546,391,1235,318,76,882,100,23.21,2.63,535,270,317,813,805,47,0
Inter,Premier League,2024-2025,38,24,9,5,79,35,44,81,59.4,565,179,14.87,4.71,0.12,0.38,31.7,66.9,36.4,30.5,0.8,41.2,343835,107852,1730,434,1353,410,119,1028,133,27.05,3.5,505,227,356,676,732,56,1
Atalanta,Premier League,2024-2025,38,22,8,8,78,37,41,74,55.3,538,181,14.16,4.76,0.13,0.39,33.6,65.0,38.6,26.4,0.69,32.2,304878,97688,1824,425,1382,395,113,966,131,25.42,3.45,571,296,360,679,867,67,1
Juventus,Premier League,2024-2025,38,18,16,4,58,35,23,70,57.2,509,175,13.39,4.61,0.1,0.29,34.4,51.0,34.0,16.9,0.45,36.9,316000,98768,1561,393,1390,305,67,908,94,23.89,2.47,606,215,404,723,821,67,3
Roma,Premier League,2024-2025,38,20,9,9,56,35,21,69,53.9,514,162,13.53,4.26,0.09,0.29,31.5,53.0,40.9,12.1,0.32,30.0,300183,96685,1501,391,1302,314,81,934,95,24.58,2.5,551,282,329,746,833,66,1
Fiorentina,Premier League,2024-2025,38,19,8,11,60,41,19,65,51.0,439,166,11.55,4.37,0.12,0.31,37.8,48.9,42.8,6.1,0.16,43.9,262148,91970,1240,336,984,244,74,799,100,21.03,2.63,531,275,353,911,806,82,3
Lazio,Premier League,2024-2025,38,18,11,9,61,49,12,65,55.1,528,185,13.89,4.87,0.1,0.29,35.0,57.2,37.7,19.5,0.51,37.8,296409,96569,1588,403,1374,323,102,954,103,25.11,2.71,520,295,313,718,815,93,7
Milan,Premier League,2024-2025,38,18,9,11,61,43,18,63,53.9,555,185,14.61,4.87,0.1,0.3,33.3,63.7,41.3,22.4,0.59,38.6,290496,97134,1589,442,1198,342,77,1011,107,26.61,2.82,552,234,292,691,786,70,6
Bologna,Premier League,2024-2025,38,16,14,8,57,47,10,62,58.1,505,166,13.29,4.37,0.1,0.3,32.9,49.3,36.7,12.6,0.33,36.6,295869,97686,1468,384,1351,293,109,913,103,24.03,2.71,591,258,390,679,849,61,4
Como,Premier League,2024-2025,38,13,10,15,49,52,-3,49,54.6,519,176,13.66,4.63,0.08,0.25,33.9,45.4,43.0,2.4,0.06,37.0,268133,95134,1377,405,1150,279,60,920,79,24.21,2.08,663,279,348,788,942,87,7
Torino,Premier League,2024-2025,38,10,14,14,39,45,-6,44,47.5,383,123,10.08,3.24,0.09,0.28,32.1,34.6,50.4,-15.8,-0.42,32.4,249577,86249,1113,276,980,250,86,663,58,17.45,1.53,468,278,338,882,746,80,3
Udinese,Premier League,2024-2025,38,12,8,18,41,56,-15,44,47.2,430,137,11.32,3.61,0.09,0.28,31.9,38.2,52.6,-14.4,-0.38,37.4,239290,82480,1160,313,969,242,103,757,61,19.92,1.61,562,302,396,909,864,88,5
Genoa,Premier League,2024-2025,38,10,13,15,37,49,-12,43,45.6,383,117,10.08,3.08,0.09,0.3,30.5,37.2,47.2,-10.0,-0.26,37.5,221047,81991,980,285,737,201,78,657,61,17.29,1.61,672,308,422,938,980,71,1
Hellas Verona,Premier League,2024-2025,38,10,7,21,34,66,-32,37,38.7,372,95,9.79,2.5,0.08,0.31,25.5,33.8,53.4,-19.6,-0.51,28.5,178691,69540,1011,276,824,189,61,640,48,16.84,1.26,672,329,393,987,1001,98,9
Cagliari,Premier League,2024-2025,38,9,9,20,40,56,-16,36,44.9,421,115,11.08,3.03,0.08,0.3,27.3,42.7,55.3,-12.6,-0.33,38.9,219114,88994,1150,301,907,234,89,748,71,19.68,1.87,538,276,343,887,814,68,3
Parma,Premier League,2024-2025,38,7,15,16,44,58,-14,36,44.2,418,140,11.0,3.68,0.09,0.26,33.5,43.1,56.4,-13.3,-0.35,29.7,227371,84995,1059,316,890,217,59,749,73,19.71,1.92,523,279,434,977,802,78,6
Lecce,Premier League,2024-2025,38,8,10,20,27,58,-31,34,43.8,450,119,11.84,3.13,0.05,0.2,26.4,34.6,57.1,-22.5,-0.59,33.5,215443,81823,1071,322,852,222,93,777,47,20.45,1.24,627,285,407,1042,912,61,7
Empoli,Premier League,2024-2025,38,6,13,19,33,59,-26,31,41.7,367,107,9.66,2.82,0.08,0.27,29.2,32.5,50.1,-17.6,-0.46,30.4,186741,74734,1013,269,799,214,71,638,51,16.79,1.34,689,323,396,1072,1012,68,5
Venezia,Premier League,2024-2025,38,5,14,19,32,56,-24,29,45.1,381,120,10.03,3.16,0.07,0.23,31.5,35.8,57.5,-21.7,-0.57,26.0,201752,77791,1066,282,813,215,58,685,49,18.03,1.29,605,279,439,921,884,75,2
Monza,Premier League,2024-2025,38,3,9,26,28,69,-41,18,48.5,333,99,8.76,2.61,0.07,0.24,29.7,29.9,54.7,-24.8,-0.65,39.0,257293,87427,1096,245,895,196,72,588,43,15.47,1.13,562,305,382,874,867,90,3
